"mod_peche";"a";"age_classe";"cat_pro.gp";"sexe";"res_tour";"poss_bat";"Temps_peche_effectif.cat2h";"time.day.gp";"zone.gp";"nb_sort_an_cat";"dep.mod_peche.chr"
"peche du bord";"2022";"25-39";"activite";"homme";"resident";"non";">=2h";"nimp_q";"Agriates";"Q4 (>=31)";"entre 100-500 euros"
"peche du bord";"2022";"40-49";"activite";"homme";"resident";"non";">=2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"entre 500-1000 euros"
"peche du bord";"2022";"50-59";"activite";"homme";"resident";"non";">=2h";"nimp_q";"nimp_ou";"Q3 (16-30)";"entre 100-500 euros"
"peche du bord";"2022";"25-39";"activite";"homme";"resident";"non";"<2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"entre 100-500 euros"
"peche du bord";"2022";"40-49";"activite";"homme";"resident";"non";">=2h";"nimp_q";"Est Cap";"Q4 (>=31)";"entre 100-500 euros"
"peche embarquée";"2022";"40-49";"activite";"homme";"resident";"oui";">=2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"supérieur à 2000"
"peche du bord";"2022";"25-39";"activite";"homme";"touriste";"non";"<2h";"nimp_q";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche du bord";"2022";"40-49";"activite";"homme";"touriste";"non";">=2h";"nimp_q";"Est Cap";"Q1 (<=10)";"entre 100-500 euros"
"peche embarquée";"2022";"40-49";"activite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q2 (11-15)";"entre 100-500 euros"
"peche embarquée";"2022";"40-49";"sans_emploi-en_arret";"homme";"resident";"oui";"<2h";"am";"nimp_ou";"Q2 (11-15)";"entre 100-500 euros"
"peche embarquée";"2022";"40-49";"activite";"homme";"touriste";"non";">=2h";"nimp_q";"nimp_ou";"Q1 (<=10)";"entre 100-500 euros"
"peche embarquée";"2022";"25-39";"activite";"homme";"touriste";"oui";">=2h";"am";"Ouest Cap";"Q1 (<=10)";"< 100 euros"
"chasse sous-marine";"2022";"40-49";"activite";"homme";"touriste";"oui";">=2h";"pm";"nimp_ou";"Q1 (<=10)";"entre 500-1000 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"touriste";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"entre 500-1000 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"resident";"oui";">=2h";"am";"Ouest Cap";"Q3 (16-30)";"entre 1000-2000 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";"<2h";"nimp_q";"nimp_ou";"Q4 (>=31)";"entre 1000-2000 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q3 (16-30)";"< 100 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"non";">=2h";"nimp_q";"nimp_ou";"Q1 (<=10)";"entre 100-500 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"resident";"oui";">=2h";"nimp_q";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche embarquée";"2022";"50-59";"activite";"homme";"touriste";"oui";"<2h";"nimp_q";"nimp_ou";"Q1 (<=10)";"< 100 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";"<2h";"nimp_q";"nimp_ou";"Q3 (16-30)";"entre 1000-2000 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2022";"50-59";"sans_emploi-en_arret";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2022";"50-59";"activite";"homme";"resident";"oui";">=2h";"nimp_q";"Ouest Cap";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2022";"25-39";"activite";"homme";"resident";"oui";">=2h";"nimp_q";"nimp_ou";"Q3 (16-30)";"supérieur à 2000"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";">=2h";"am";"Ouest Cap";"Q1 (<=10)";"entre 500-1000 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";">=2h";"am";"Est Cap";"Q1 (<=10)";"entre 100-500 euros"
"peche embarquée";"2022";"50-59";"sans_emploi-en_arret";"homme";"resident";"oui";">=2h";"am";"Est Cap";"Q2 (11-15)";"supérieur à 2000"
"peche embarquée";"2022";"40-49";"activite";"homme";"secondaire";"oui";"<2h";"nimp_q";"Est Cap";"Q1 (<=10)";"< 100 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"secondaire";"oui";">=2h";"nimp_q";"Est Cap";"Q3 (16-30)";"entre 100-500 euros"
"peche embarquée";"2022";"50-59";"activite";"homme";"resident";"oui";">=2h";"am";"Ouest Cap";"Q4 (>=31)";"entre 100-500 euros"
"peche embarquée";"2022";"40-49";"activite";"homme";"touriste";"oui";">=2h";"am";"Nord Cap";"Q3 (16-30)";"entre 1000-2000 euros"
"peche embarquée";"2022";"50-59";"activite";"homme";"touriste";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"entre 1000-2000 euros"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"secondaire";"oui";">=2h";"am";"nimp_ou";"Q3 (16-30)";"entre 500-1000 euros"
"peche embarquée";"2022";"60-69";"activite";"homme";"touriste";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"supérieur à 2000"
"peche embarquée";"2022";"60-69";"retraite";"homme";"touriste";"oui";">=2h";"am";"Nord Cap";"Q3 (16-30)";"< 100 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"touriste";"oui";">=2h";"am";"Nord Cap";"Q3 (16-30)";"< 100 euros"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";"<2h";"am";"nimp_ou";"Q2 (11-15)";"entre 1000-2000 euros"
"peche embarquée";"2022";"60-69";"activite";"homme";"touriste";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"supérieur à 2000"
"peche embarquée";"2022";"70 et plus";"retraite";"homme";"touriste";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"entre 1000-2000 euros"
"peche embarquée";"2022";"40-49";"activite";"homme";"resident";"oui";">=2h";"nimp_q";"Ouest Cap";"Q4 (>=31)";"supérieur à 2000"
"peche embarquée";"2022";"60-69";"retraite";"homme";"resident";"oui";">=2h";"am";"nimp_ou";"Q1 (<=10)";"entre 100-500 euros"
